Datetime,Water Level (m)
2015-10-09,416.4129943847656
2015-10-10,416.4079895019531
2015-10-11,416.406005859375
2015-10-12,416.3999938964844
2015-10-13,416.41400146484375
2015-10-14,416.4419860839844
2015-10-15,416.4419860839844
2015-10-16,416.4389953613281
2015-10-17,416.4389953613281
2015-10-18,416.4249877929688
2015-10-19,416.4159851074219
2015-10-20,416.4119873046875
2015-10-21,416.4079895019531
2015-10-22,416.4039916992188
2015-10-23,416.3999938964844
2015-10-24,416.4039916992188
2015-10-25,416.4079895019531
2015-10-26,416.4079895019531
2015-10-27,416.406005859375
2015-10-28,416.3999938964844
2015-10-29,416.4010009765625
2015-10-30,416.4129943847656
2015-10-31,416.4179992675781
2015-11-01,
2015-11-02,
2015-11-03,
2015-11-04,
2015-11-05,
2015-11-06,
2015-11-07,
2015-11-08,
2015-11-09,
2015-11-10,
2015-11-11,
2015-11-12,
2015-11-13,
2015-11-14,
2015-11-15,
2015-11-16,
2015-11-17,
2015-11-18,
2015-11-19,
2015-11-20,
2015-11-21,
2015-11-22,
2015-11-23,
2015-11-24,
2015-11-25,
2015-11-26,
2015-11-27,
2015-11-28,
2015-11-29,
2015-11-30,
2015-12-01,
2015-12-02,
2015-12-03,
2015-12-04,
2015-12-05,
2015-12-06,
2015-12-07,
2015-12-08,
2015-12-09,
2015-12-10,
2015-12-11,
2015-12-12,
2015-12-13,
2015-12-14,
2015-12-15,
2015-12-16,
2015-12-17,
2015-12-18,
2015-12-19,
2015-12-20,
2015-12-21,
2015-12-22,
2015-12-23,
2015-12-24,
2015-12-25,
2015-12-26,
2015-12-27,
2015-12-28,
2015-12-29,
2015-12-30,
2015-12-31,
2016-01-01,
2016-01-02,
2016-01-03,
2016-01-04,
2016-01-05,
2016-01-06,
2016-01-07,
2016-01-08,
2016-01-09,
2016-01-10,
2016-01-11,
2016-01-12,
2016-01-13,
2016-01-14,
2016-01-15,
2016-01-16,
2016-01-17,
2016-01-18,
2016-01-19,
2016-01-20,
2016-01-21,
2016-01-22,
2016-01-23,
2016-01-24,
2016-01-25,
2016-01-26,
2016-01-27,
2016-01-28,
2016-01-29,
2016-01-30,
2016-01-31,
2016-02-01,
2016-02-02,
2016-02-03,
2016-02-04,
2016-02-05,
2016-02-06,
2016-02-07,
2016-02-08,
2016-02-09,
2016-02-10,
2016-02-11,
2016-02-12,
2016-02-13,
2016-02-14,
2016-02-15,
2016-02-16,
2016-02-17,
2016-02-18,
2016-02-19,
2016-02-20,
2016-02-21,
2016-02-22,
2016-02-23,
2016-02-24,
2016-02-25,
2016-02-26,
2016-02-27,
2016-02-28,
2016-02-29,
2016-03-01,416.3280029296875
2016-03-02,416.3240051269531
2016-03-03,416.3219909667969
2016-03-04,416.3219909667969
2016-03-05,416.3349914550781
2016-03-06,416.3949890136719
2016-03-07,416.3980102539063
2016-03-08,416.3970031738281
2016-03-09,416.4049987792969
2016-03-10,416.41900634765625
2016-03-11,416.5159912109375
2016-03-12,416.52099609375
2016-03-13,416.6600036621094
2016-03-14,416.7080078125
